Distance (µm),Fe Wt%,Cr Wt%,Ni Wt%,Mn Wt%,Pb Wt%
0.08490044,84.88555,11.24715,0.266499,0,3.600801
0.085122692,85.12756,5.963609,3.686694,0,5.222139
0.085344945,89.71304,6.79479,0.246572,0.049767,3.195828
0.085567197,87.53645,8.092948,2.459974,0,1.910635
0.08578945,93.43291,4.020456,0.064546,0,2.482082
0.086011702,84.2164,9.96681,0,2.043765,3.773025
0.086233955,87.49479,9.890057,0,0.84703,1.768125
0.086456207,88.14826,6.82515,0,3.851621,1.174967
0.086678459,95.1124,3.499245,0,1.388352,0
0.086900712,93.76812,5.455842,0,0,0.776037
0.087122964,93.44547,6.082862,0,0,0.47167
0.087345217,84.83093,9.458214,0.204096,1.25126,4.255501
0.087567469,94.0908,5.005404,0.275512,0,0.628287
0.087789722,91.38861,5.309459,0.276299,0,3.025632
0.088011974,86.64092,6.768556,0,0.83683,5.75369
0.088234227,90.1803,7.587942,0.0186,2.21316,0
0.088456479,88.48949,7.708253,0.66245,1.487657,1.652145
0.088678732,84.09021,9.598624,0,1.704879,4.60629
0.088900984,85.6679,13.05076,0.137701,1.143635,0
0.089123237,84.73539,10.40668,2.875478,1.982448,0
0.089345489,89.61226,10.38774,0,0,0
0.089567741,90.85232,7.224954,0,1.922728,0
0.089789994,89.92848,8.271342,0,0,1.800174
0.090012246,92.60301,4.800032,0,2.596957,0
0.090234499,92.96463,5.644911,0,1.065412,0.325044
0.090456751,93.48698,6.513014,0,0,0
0.090679004,82.33161,10.14493,0.507529,2.037054,4.978881
0.090901256,94.37251,5.600576,0.02691,0,0
0.091123509,79.92994,12.10722,0,2.217999,5.744842
0.091345761,89.33208,8.638489,0,0.761351,1.268075
0.091568014,88.87408,5.027582,0.591224,2.143239,3.363872
0.091790266,90.44041,6.961653,0.361391,2.236541,0
0.092012518,90.15074,7.892805,0.409969,1.018434,0.52805
0.092234771,92.21947,3.977847,1.868169,0,1.93451
0.092457023,86.71407,13.28593,0,0,0
0.092679276,89.1765,10.8235,0,0,0
0.092901528,87.49909,10.9673,0.616209,0.9174,0
0.093123781,86.89825,9.223793,1.543736,0.016179,2.318043
0.093346033,89.96004,9.339458,0.7005,0,0
0.093568286,91.97647,8.023533,0,0,0
0.093790538,89.64647,5.05065,1.21764,1.116152,2.96909
0.094012791,82.58363,8.422352,1.258321,3.765373,3.970325
0.094235043,83.44712,9.524603,0.281022,0,6.747255
0.094457296,91.98971,5.080912,0,1.248161,1.681217
0.094679548,88.70526,10.38145,0,0.91329,0
0.0949018,92.7476,4.176234,0.31421,2.761954,0
0.095124053,90.04622,8.748371,1.205406,0,0
0.095346305,91.97274,7.092701,0,0,0.934561
0.095568558,87.30866,6.902226,0,1.002635,4.786474
0.09579081,84.82271,12.55327,0,2.624023,0
0.096013063,91.33594,5.434206,0.536605,2.245978,0.447273
0.096235315,91.44589,5.408422,0,0.260617,2.885067
0.096457568,90.89368,9.10632,0,0,0
0.09667982,87.38945,9.827954,0.035681,0.02941,2.717503
0.096902073,89.29198,7.445838,0.342452,0.270923,2.64881
0.097124325,90.42428,5.574481,0,4.001237,0
0.097346578,89.23849,5.288764,0.144322,3.108797,2.21963
0.09756883,85.11955,8.358043,0.41584,0.65885,5.447712
0.097791082,87.60954,9.334373,1.612689,1.443401,0
0.098013335,89.44193,8.135465,0,0,2.422604
0.098235587,86.16451,8.765507,1.660303,0,3.409675
0.09845784,90.8791,4.633831,0.719608,1.578925,2.188537
0.098680092,90.30241,8.751434,0.69779,0.24837,0
0.098902345,91.31941,7.775443,0,0.890178,0.01497
0.099124597,84.80173,10.66404,2.087924,1.129526,1.316787
0.09934685,81.49605,8.499568,2.78123,0.590627,6.632523
0.099569102,90.67197,8.486259,0,0.841776,0
0.099791355,82.2913,12.83668,2.604581,0.988221,1.279223
0.100013607,91.90606,6.967456,0,0.115433,1.01105
0.10023586,86.76769,9.243145,0,0.187669,3.801492
0.100458112,92.18922,6.443738,1.073351,0.293695,0
0.100680364,89.38171,8.132113,0,0,2.48618
0.100902617,88.53096,8.055773,1.863349,1.549915,0
0.101124869,89.19362,8.741227,0,0,2.065158
0.101347122,87.52474,9.142533,0,1.517105,1.81562
0.101569374,85.16132,11.87029,1.526778,1.441615,0
0.101791627,91.55569,6.214815,0,1.749902,0.479593
0.102013879,88.22217,8.317712,1.356854,0.956372,1.146891
0.102236132,89.6592,7.230684,0,3.110116,0
0.102458384,87.32828,7.948765,3.918069,0.804887,0
0.102680637,82.68274,7.115403,6.135721,2.686697,1.379438
0.102902889,88.07415,5.743642,0.886822,1.472323,3.823061
0.103125141,82.02614,9.758999,5.761324,2.45354,0
0.103347394,85.86145,11.24241,2.89614,0,0
0.103569646,86.24424,9.708453,4.047305,0,0
0.103791899,90.22376,7.196156,2.206357,0.373728,0
0.104014151,82.81307,15.37793,0.407785,0,1.401214
0.104236404,85.23484,10.57533,3.339161,0.850669,0
0.104458656,86.39674,8.618108,2.222897,2.762253,0
0.104680909,92.02482,7.97518,0,0,0
0.104903161,90.45489,6.670869,2.87424,0,0
0.105125414,89.04813,7.488852,1.834668,1.628354,0
0.105347666,78.58877,12.37642,5.610343,3.082733,0.341729
0.105569919,86.08403,11.75657,0,2.159398,0
0.105792171,85.52518,6.983294,1.36736,3.265907,2.858257
0.106014423,79.82989,13.16848,1.185904,4.567472,1.248254
0.106236676,89.21323,7.646627,0.763106,1.34349,1.033549
0.106458928,85.19033,12.11388,2.305182,0.39061,0
0.106681181,86.69357,11.9019,0,0.927658,0.476874
0.106903433,82.90254,10.68091,3.74059,0,2.675955
0.107125686,85.68252,11.65273,2.399903,0,0.264847
0.107347938,87.40675,9.259157,3.083091,0.251005,0
0.107570191,82.18314,11.06363,0.110682,0.751081,5.891465
0.107792443,84.08973,8.037834,5.201336,1.523547,1.147553
0.108014696,84.4493,13.33124,1.383791,0.835668,0
0.108236948,83.62312,11.37264,3.344161,1.150503,0.509575
0.108459201,78.64033,11.947,7.233968,2.178708,0
0.108681453,79.26769,13.84524,4.187184,2.680533,0.01935
0.108903705,82.94678,14.12048,0.436938,0.36,2.135797
0.109125958,85.65316,4.909754,1.732824,2.897787,4.806474
0.10934821,78.67708,13.22539,7.024695,1.072835,0
0.109570463,81.88773,7.772835,9.440637,0.090553,0.808245
0.109792715,83.23558,10.02424,2.614609,0.793937,3.33163
0.110014968,71.1292,13.38629,5.196984,4.088185,6.199351
0.11023722,83.19079,15.547,1.262208,0,0
0.110459473,75.43208,14.97176,6.836985,1.349854,1.409316
0.110681725,84.28904,11.30144,3.745632,0,0.663885
0.110903978,83.19421,11.72179,3.48582,0.65729,0.940897
