Distance (µm),Fe ,Cr ,Ni ,Mn,Pb 
0.104848223,89.51885,9.143966,1.174973,0,0.162212
0.105130833,89.14608,10.62287,0.122207,0.108847,0
0.105413442,89.64741,9.251149,0,0.615216,0.486225
0.105696052,88.23727,9.596897,0,2.165837,0
0.105978662,89.73833,7.21093,0,0.376889,2.673856
0.106261272,87.14058,8.102974,0.239971,0.292997,4.223478
0.106543881,88.1834,10.21746,0.55036,0.211122,0.837658
0.106826491,89.83515,9.307644,0,0.857203,0
0.107109101,94.18123,5.265593,0,0.553175,0
0.107391711,91.16534,8.712897,0.002375,0.11938,0
0.10767432,91.67912,6.988706,0,1.33217,0
0.10795693,88.97326,10.3599,0.269378,0,0.397462
0.10823954,92.8037,6.553683,0.008086,0.634534,0
0.10852215,92.64292,4.365473,0.620931,1.582622,0.788056
0.108804759,92.26809,7.203419,0.174282,0.35421,0
0.109087369,93.31329,5.21305,0,1.218065,0.255603
0.109369979,90.09347,8.711809,1.194721,0,0
0.109652589,94.45218,5.184783,0,0.36304,0
0.109935199,90.82692,7.255055,1.918027,0,0
0.110217808,90.91134,8.496359,0,0.538426,0.053873
0.110500418,89.92595,7.551079,0.626688,1.89628,0
0.110783028,89.29129,8.692532,0,2.016177,0
0.111065638,91.25153,8.003472,0,0.745001,0
0.111348247,89.8963,6.805942,1.564197,1.73356,0
0.111630857,88.57449,8.320142,0.856008,0.363831,1.885538
0.111913467,91.69357,7.929152,0.377281,0,0
0.112196077,89.96024,8.081306,0.509573,0.902891,0.545995
0.112478686,91.65312,6.718617,1.390072,0.031827,0.206361
0.112761296,87.09376,10.60238,0.806075,1.497786,0
0.113043906,87.16011,11.53639,0,0,1.3035
0.113326516,91.08118,6.23625,0,2.123777,0.558794
0.113609125,92.78845,5.568031,0.195043,1.448476,0
0.113891735,92.03149,7.550472,0,0,0.418042
0.114174345,93.0881,5.367201,0,1.544699,0
0.114456955,90.3792,8.141182,0,1.479614,0
0.114739565,89.63918,9.222587,0.865625,0.272604,0
0.115022174,92.14871,7.361962,0,0.489328,0
0.115304784,90.11189,9.888105,0,0,0
0.115587394,88.39928,8.504095,0.567444,0,2.529186
0.115870004,85.61053,8.950141,0.627706,1.628043,3.183586
0.116152613,93.83748,6.16252,0,0,0
0.116435223,90.81477,9.185232,0,0,0
0.116717833,87.22169,11.11756,0.886826,0.77393,0
0.117000443,89.70592,5.948188,0,0,4.345883
0.117283052,90.28214,8.65018,0,1.067677,0
0.117565662,87.68192,11.07099,1.247098,0,0
0.117848272,91.96429,6.807092,0,1.228614,0
0.118130882,92.64671,7.353291,0,0,0
0.118413491,87.40544,12.59456,0,0,0
0.118696101,86.70834,10.3148,0.084757,0.956891,1.935213
0.118978711,86.78289,12.81904,0.398071,0,0
0.119261321,88.91479,10.77473,0.010051,0.300418,0
0.119543931,85.7171,9.005649,1.953539,3.323712,0
0.11982654,91.39011,7.500941,0,1.108948,0
0.12010915,87.94766,9.298995,2.75334,0,0
0.12039176,84.18903,9.837237,2.285684,1.104043,2.584012
0.12067437,84.92977,10.87374,0.046169,1.532461,2.61786
0.120956979,92.64458,4.963572,1.954452,0,0.437402
0.121239589,91.32304,7.798743,0.729139,0.149082,0
0.121522199,87.37534,8.504598,1.622325,2.497745,0
0.121804809,89.72548,10.27452,0,0,0
0.122087418,89.0312,8.904886,0,0,2.06391
0.122370028,90.60036,8.456479,0,0.943153,0
0.122652638,90.73328,7.702482,0.172103,1.392143,0
0.122935248,89.28481,10.38299,0,0,0.332197
0.123217857,89.59573,8.591032,1.813243,0,0
0.123500467,90.44807,7.956876,0,0.228578,1.366478
0.123783077,91.55709,8.442905,0,0,0
0.124065687,91.5514,8.448603,0,0,0
0.124348297,90.70993,8.295113,0,0.28145,0.713505
0.124630906,88.60706,7.14256,0.85897,1.779779,1.611638
0.124913516,88.57432,8.652369,0,2.36728,0.406033
0.125196126,91.88517,6.237462,0.942871,0.934499,0
0.125478736,85.12247,11.54178,0.363737,0.763572,2.208447
0.125761345,94.80299,2.639157,1.212515,1.345342,0
0.126043955,90.30081,6.367579,0.281523,2.222883,0.827206
0.126326565,88.39523,10.02061,1.326532,0.257633,0
0.126609175,91.90205,8.097944,0,0,0
0.126891784,94.31084,5.689166,0,0,0
0.127174394,94.06385,5.318662,0,0.617485,0
0.127457004,90.00212,8.19401,0.799562,0.051196,0.953114
0.127739614,90.07704,6.927939,0,2.995018,0
0.128022224,89.97543,8.730401,0.449828,0.594589,0.249752
0.128304833,90.55391,6.733145,1.567336,0.41515,0.730457
0.128587443,89.96957,7.296723,0,1.258551,1.475163
0.128870053,91.66126,7.849174,0,0.489567,0
0.129152663,88.50983,10.01661,0,0,1.473567
0.129435272,91.16273,7.65877,0,1.178497,0
0.129717882,92.76563,6.597612,0.430582,0,0.206173
0.130000492,90.85664,7.892177,0.738472,0.512708,0
0.130283102,89.67429,8.791069,0,1.534638,0
0.130565711,87.69412,6.317027,1.957539,1.447103,2.584208
0.130848321,93.17686,6.491585,0.331556,0,0
0.131130931,92.51688,5.654205,0,0.348821,1.480087
0.131413541,93.19537,6.804631,0,0,0
0.13169615,91.67434,5.603481,0.20676,2.515419,0
0.13197876,90.06363,9.069381,0,0.866988,0
0.13226137,89.18379,9.050702,0,1.765504,0
0.13254398,93.75988,5.155476,0,1.084641,0
0.13282659,86.88216,9.498867,1.614066,0.668325,1.336578
0.133109199,88.47568,9.945103,0,0.337019,1.242203
0.133391809,91.39959,8.600411,0,0,0
0.133674419,91.23797,8.762032,0,0,0
0.133957029,92.90777,6.275615,0.816615,0,0
0.134239638,88.01281,11.36411,0.623073,0,0
0.134522248,88.58382,9.029737,0,0.460343,1.926095
0.134804858,89.62565,7.007246,0.250523,3.11658,0
0.135087468,88.85156,9.657318,0.85808,0.633042,0
0.135370077,89.904,6.570876,0.809163,1.879201,0.836764
0.135652687,90.45734,8.729604,0.507074,0,0.305975
0.135935297,88.85,11.15,0,0,0
0.136217907,85.79311,12.42415,0.771346,1.011396,0
0.136500516,89.27794,8.177182,1.52836,1.01652,0
0.136783126,92.36483,5.86807,0,0.752196,1.0149
0.137065736,90.53645,7.564119,0,1.703384,0.196041
0.137348346,90.79094,7.53309,0,0,1.675969
0.137630956,89.77425,7.866771,1.248465,1.11051,0
0.137913565,89.46666,7.638164,0.19315,0,2.702027
0.138196175,85.85374,9.383117,2.439992,0.868763,1.454388
0.138478785,88.6175,9.842757,1.146406,0,0.393334
0.138761395,89.73556,8.356894,0.755519,1.152031,0
0.139044004,92.64682,5.324813,0.649971,1.378394,0
0.139326614,88.85619,9.852209,1.291604,0,0
0.139609224,90.51496,6.712887,0,1.573444,1.198707
0.139891834,89.28557,8.902355,0.716354,0.737011,0.358713
0.140174443,87.20449,9.862769,0.625867,2.306875,0
0.140457053,84.63876,12.54349,0,2.817754,0
0.140739663,86.21189,6.606751,0,1.069544,6.111815
0.141022273,89.04948,6.647368,2.082338,1.153345,1.067475
0.141304882,91.20161,8.201502,0.542283,0.054605,0
0.141587492,88.41196,9.115872,2.032076,0.440095,0
0.141870102,87.73857,7.831544,0.801657,3.62823,0
0.142152712,89.42802,5.068676,2.589065,1.32919,1.585045
0.142435322,88.81216,8.674142,0,2.513695,0
0.142717931,93.1673,6.460608,0.372088,0,0
0.143000541,89.82653,7.673334,0.64069,0,1.859443
0.143283151,85.87157,13.57126,0,0.557172,0
0.143565761,91.76165,5.893207,1.1267,1.218441,0
0.14384837,88.08067,10.60689,1.312449,0,0
0.14413098,91.29829,8.701704,0,0,0
0.14441359,91.92485,5.805373,0,1.558474,0.711302
0.1446962,91.77237,8.227628,0,0,0
0.144978809,87.85631,6.059472,0,2.679578,3.404641
0.145261419,89.79,9.309761,0.358457,0.009714,0.532068
0.145544029,92.32233,5.345492,0.54009,1.792086,0
